seed,patient_id,model,gt_nonempty,pred_nonempty,dice,hd95,fnr,fpr
1,BraTS2021_01211,25d_bce_dice,True,True,0.890,13.784,0.123,0.061
1,BraTS2021_01211,25d_boundary,True,True,0.911,3.000,0.027,0.098
1,BraTS2021_01214,2d_bce_dice,True,True,0.899,5.000,0.062,0.000
1,BraTS2021_01214,2d_boundary,True,True,0.907,3.162,0.016,0.055
1,BraTS2021_01214,25d_bce_dice,True,True,0.901,4.123,0.031,0.000
1,BraTS2021_01214,25d_boundary,True,True,0.914,2.828,0.016,0.011
1,BraTS2021_01221,2d_bce_dice,True,True,0.905,4.472,0.100,0.000
1,BraTS2021_01221,2d_boundary,True,True,0.894,4.899,0.000,0.107
1,BraTS2021_01221,25d_bce_dice,True,True,0.903,5.000,0.088,0.013
1,BraTS2021_01221,25d_boundary,True,True,0.903,4.472,0.025,0.053
1,BraTS2021_01603,2d_bce_dice,True,True,0.892,7.874,0.075,0.000
1,BraTS2021_01603,2d_boundary,True,True,0.912,7.483,0.022,0.000
1,BraTS2021_01603,25d_bce_dice,True,True,0.924,6.000,0.097,0.000
1,BraTS2021_01603,25d_boundary,True,True,0.946,3.742,0.022,0.000
2,BraTS2021_00459,2d_bce_dice,True,True,0.964,6.325,0.000,0.041
2,BraTS2021_00459,2d_boundary,True,True,0.950,40.141,0.000,0.163
2,BraTS2021_00459,25d_bce_dice,True,True,0.968,2.449,0.000,0.020
2,BraTS2021_00459,25d_boundary,True,True,0.966,4.000,0.000,0.153
2,BraTS2021_00804,2d_bce_dice,True,True,0.975,1.000,0.026,0.013
2,BraTS2021_00804,2d_boundary,True,True,0.978,1.000,0.000,0.026
2,BraTS2021_00804,25d_bce_dice,True,True,0.977,1.000,0.052,0.000
2,BraTS2021_00804,25d_boundary,True,True,0.978,1.000,0.000,0.051
2,BraTS2021_01164,2d_bce_dice,True,True,0.925,2.449,0.086,0.000
2,BraTS2021_01164,2d_boundary,True,True,0.937,2.449,0.017,0.052
2,BraTS2021_01164,25d_bce_dice,True,True,0.945,2.236,0.069,0.000
2,BraTS2021_01164,25d_boundary,True,True,0.939,2.236,0.017,0.052
